name;female;birthdate;birthplace;link
Georgie Henley;True;9/7/1995;['Ilkley', ', ', 'West Yorkshire', ', England'];https://en.wikipedia.org/wiki/Georgie_Henley
Pete Postlethwaite;False;7/2/1946;['Warrington', ', ', 'Lancashire', ', England'];https://en.wikipedia.org/wiki/Pete_Postlethwaite
Taryn Manning;True;;['Falls Church, Virginia', ', U.S.'];https://en.wikipedia.org/wiki/Taryn_Manning
Clifton Collins Jr.;False;;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Clifton_Collins_Jr.
Thandiwe Newton;True;6/11/1972;['Westminster', ', ', 'United Kingdom'];https://en.wikipedia.org/wiki/Thandiwe_Newton
Rúaidhrí Conroy;False;30/11/1979;['Dublin', ', Ireland'];https://en.wikipedia.org/wiki/R%C3%BAaidhr%C3%AD_Conroy
Paula Jai Parker;True;;['Cleveland', ', ', 'Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Paula_Jai_Parker
Anna Faris;True;29/11/1976;['Baltimore, Maryland', ', U.S.'];https://en.wikipedia.org/wiki/Anna_Faris
Brendan Gleeson;False;29/3/1955;['Dublin', ', ', 'Ireland'];https://en.wikipedia.org/wiki/Brendan_Gleeson
Philip Seymour Hoffman;False;23/7/1967;['Fairport, New York', ', U.S.'];https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman
David Wilmot (actor);False;;[];https://en.wikipedia.org/wiki/David_Wilmot_(actor)
Elise Neal;True;14/3/1966;['Memphis, Tennessee', ', U.S.'];https://en.wikipedia.org/wiki/Elise_Neal
DJ Qualls;False;10/6/1978;['Nashville, Tennessee', ', U.S.'];https://en.wikipedia.org/wiki/DJ_Qualls
Presley Chweneyagae;False;19/10/1984;['Mafikeng', ', South Africa'];https://en.wikipedia.org/wiki/Presley_Chweneyagae
Jake Gyllenhaal;False;19/12/1980;['Los Angeles, California', ', U.S.'];https://en.wikipedia.org/wiki/Jake_Gyllenhaal
Liam Neeson;False;7/6/1952;['Ballymena', ', ', 'Northern Ireland'];https://en.wikipedia.org/wiki/Liam_Neeson
Peter Sallis;False;1/2/1921;['Twickenham', ', ', 'Middlesex', ', England'];https://en.wikipedia.org/wiki/Peter_Sallis
Jennifer Esposito;True;;['New York City, U.S.'];https://en.wikipedia.org/wiki/Jennifer_Esposito
Hilary Swank;True;30/7/1974;['Lincoln, Nebraska', ', U.S.'];https://en.wikipedia.org/wiki/Hilary_Swank
Orlando Bloom;False;13/1/1977;['Canterbury', ', ', 'Kent', ', England'];https://en.wikipedia.org/wiki/Orlando_Bloom
Keith Robinson (actor);False;17/1/1974;[];https://en.wikipedia.org/wiki/Keith_Robinson_(actor)
Peter Kay;False;2/7/1973;[];https://en.wikipedia.org/wiki/Peter_Kay
Nicholas Smith (actor);False;5/3/1934;['Banstead', ', ', 'Surrey', ', England'];https://en.wikipedia.org/wiki/Nicholas_Smith_(actor)
Koji Yakusho;False;1/1/1956;['Isahaya, Nagasaki', ', Japan'];https://en.wikipedia.org/wiki/K%C5%8Dji_Yakusho
Kazunari Ninomiya;False;17/6/1983;['Katsushika, Tokyo', ', Japan'];https://en.wikipedia.org/wiki/Kazunari_Ninomiya
Liz Smith (actress);True;11/12/1921;['Crosby', ', ', 'Scunthorpe', ', ', 'Lincolnshire', ', England'];https://en.wikipedia.org/wiki/Liz_Smith_(actress)
Ken Watanabe;False;21/10/1959;['Hirokami', ', ', 'Niigata', ', Japan'];https://en.wikipedia.org/wiki/Ken_Watanabe
Sergi López (actor);False;22/12/1965;['Vilanova i la Geltrú', ', Catalonia, Spain'];https://en.wikipedia.org/wiki/Sergi_L%C3%B3pez_(actor)
Clifton Powell;False;16/3/1956;['Washington, D.C.', ', U.S.'];https://en.wikipedia.org/wiki/Clifton_Powell
Helen Mirren;True;26/7/1945;['London, England'];https://en.wikipedia.org/wiki/Helen_Mirren
Harry Lennix;False;16/11/1964;['Chicago', ', ', 'Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Harry_Lennix
Julie Christie;True;14/4/1940;['Chabua', ', ', 'Assam', ', ', 'British India'];https://en.wikipedia.org/wiki/Julie_Christie
Peter O'Toole;False;2/8/1932;['Leeds', ', West Riding of Yorkshire, England', '[a]'];https://en.wikipedia.org/wiki/Peter_O%27Toole
Kate Winslet;True;5/10/1975;['Reading, Berkshire', ', England'];https://en.wikipedia.org/wiki/Kate_Winslet
Kate Beckinsale;True;26/7/1973;['London', ', England'];https://en.wikipedia.org/wiki/Kate_Beckinsale
Radha Mitchell;True;12/11/1973;['Melbourne', ', ', 'Victoria, Australia'];https://en.wikipedia.org/wiki/Radha_Mitchell
John C. Reilly;False;24/5/1965;['Chicago, Illinois', ', U.S.'];https://en.wikipedia.org/wiki/John_C._Reilly
Thomas Haden Church;False;17/6/1960;['Woodland, California', ', U.S.'];https://en.wikipedia.org/wiki/Thomas_Haden_Church
Paul Giamatti;False;6/6/1967;['New Haven, Connecticut', ', U.S.'];https://en.wikipedia.org/wiki/Paul_Giamatti
Richard Schiff;False;27/5/1955;['Bethesda, Maryland', ', U.S.'];https://en.wikipedia.org/wiki/Richard_Schiff
Dustin Hoffman;False;8/8/1937;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Dustin_Hoffman
Reese Witherspoon;True;22/3/1976;['New Orleans', ', ', 'Louisiana', ', U.S.'];https://en.wikipedia.org/wiki/Reese_Witherspoon
Mazhar Munir;False;;['London', ', ', 'England', ', ', 'UK'];https://en.wikipedia.org/wiki/Mazhar_Munir
Natalie Press;True;15/8/1980;['London', ', England'];https://en.wikipedia.org/wiki/Natalie_Press
Luis Guzmán;False;28/8/1956;['Cayey', ', ', 'Puerto Rico'];https://en.wikipedia.org/wiki/Luis_Guzm%C3%A1n
Alexander Siddig;False;21/11/1965;['Omdurman', ', ', 'Khartoum', ', Sudan'];https://en.wikipedia.org/wiki/Alexander_Siddig
Celso Bugallo;False;12/3/1947;['Sanxenxo', ', ', 'Galicia', ', Spain'];https://en.wikipedia.org/wiki/Celso_Bugallo
Donna Murphy;True;7/3/1959;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Donna_Murphy
Cedric the Entertainer;False;24/4/1964;[];https://en.wikipedia.org/wiki/Cedric_the_Entertainer
Rosemary Harris;True;19/9/1927;['Ashby', ', ', 'Suffolk', ', England'];https://en.wikipedia.org/wiki/Rosemary_Harris
Mabel Rivera;True;20/6/1952;['Ferrol', ' (', 'Corunna', '), ', 'Spain'];https://en.wikipedia.org/wiki/Mabel_Rivera
Elizabeth Peña;True;23/9/1959;['Elizabeth, New Jersey.'];https://en.wikipedia.org/wiki/Elizabeth_Pe%C3%B1a
Lola Dueñas;True;6/10/1971;['Madrid', ', Spain'];https://en.wikipedia.org/wiki/Lola_Due%C3%B1as
Billy Connolly;False;24/11/1942;[];https://en.wikipedia.org/wiki/Billy_Connolly
Chris Landreth;False;4/8/1961;['Hartford', ', ', 'Connecticut', ', U.S.'];https://en.wikipedia.org/wiki/Chris_Landreth
Amanda Peet;True;11/1/1972;['New York City, U.S.'];https://en.wikipedia.org/wiki/Amanda_Peet
Ryan Larkin;False;31/7/1943;['Montreal', ', ', 'Quebec', ', Canada'];https://en.wikipedia.org/wiki/Ryan_Larkin
Catherine O'Hara;True;4/3/1954;['Toronto, Ontario, Canada'];https://en.wikipedia.org/wiki/Catherine_O%27Hara
Mía Maestro;True;19/6/1978;['Buenos Aires', ', Argentina'];https://en.wikipedia.org/wiki/M%C3%ADa_Maestro
Derek Lamb;False;;[];https://en.wikipedia.org/wiki/Derek_Lamb
Liv Tyler;True;1/7/1977;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Liv_Tyler
Belén Rueda;True;16/3/1965;['Madrid', ', Spain'];https://en.wikipedia.org/wiki/Bel%C3%A9n_Rueda
Tim Blake Nelson;False;11/5/1964;['Tulsa, Oklahoma', ', U.S.'];https://en.wikipedia.org/wiki/Tim_Blake_Nelson
Robert Patrick;False;5/11/1958;['Marietta, Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Robert_Patrick
Jason Lee (actor);False;25/4/1970;['Santa Ana, California', ', U.S.'];https://en.wikipedia.org/wiki/Jason_Lee_(actor)
Sean Astin;False;25/2/1971;['Santa Monica, California', ', U.S.'];https://en.wikipedia.org/wiki/Sean_Astin
Albert Brooks;False;22/7/1947;['Beverly Hills, California', ', U.S.'];https://en.wikipedia.org/wiki/Albert_Brooks
Ellen DeGeneres;True;26/1/1958;[];https://en.wikipedia.org/wiki/Ellen_DeGeneres
Alexander Gould;False;4/5/1994;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Alexander_Gould
Rodrigo de la Serna;False;18/4/1976;['Buenos Aires', ', Argentina'];https://en.wikipedia.org/wiki/Rodrigo_de_la_Serna
John Rhys-Davies;False;5/5/1944;['Salisbury', ', ', 'Wiltshire', ', England'];https://en.wikipedia.org/wiki/John_Rhys-Davies
Tim Robbins;False;16/10/1958;['West Covina, California', ', U.S.'];https://en.wikipedia.org/wiki/Tim_Robbins
William Hurt;False;20/3/1950;['Washington, D.C.', ', U.S.'];https://en.wikipedia.org/wiki/William_Hurt
Ginnifer Goodwin;True;22/5/1978;['Memphis, Tennessee', ', U.S.'];https://en.wikipedia.org/wiki/Ginnifer_Goodwin
Bernard Hill;False;17/12/1944;['Blackley', ', ', 'Manchester', ', England'];https://en.wikipedia.org/wiki/Bernard_Hill
Kevin Bacon;False;8/7/1958;['Philadelphia', ', Pennsylvania, U.S.'];https://en.wikipedia.org/wiki/Kevin_Bacon
Billy Boyd (actor);False;28/8/1968;['Glasgow', ', Scotland'];https://en.wikipedia.org/wiki/Billy_Boyd_(actor)
Laurence Fishburne;False;30/7/1961;['Augusta, Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Laurence_Fishburne
Dorothée Berryman;True;28/4/1948;[];https://en.wikipedia.org/wiki/Doroth%C3%A9e_Berryman
Dominic Monaghan;False;8/12/1976;['West Berlin', ', ', 'West Germany'];https://en.wikipedia.org/wiki/Dominic_Monaghan
Marcia Gay Harden;True;14/8/1959;['La Jolla', ', California, U.S.'];https://en.wikipedia.org/wiki/Marcia_Gay_Harden
Louise Portal;True;;[];https://en.wikipedia.org/wiki/Louise_Portal
Laura Linney;True;5/2/1964;['New York City, U.S.'];https://en.wikipedia.org/wiki/Laura_Linney
Julie Forsyth;True;;[];https://en.wikipedia.org/wiki/Julie_Forsyth
Marie-Josée Croze;True;23/2/1970;['Montreal, Quebec', ', Canada'];https://en.wikipedia.org/wiki/Marie-Jos%C3%A9e_Croze
Marina Hands;True;10/1/1975;['Paris, France'];https://en.wikipedia.org/wiki/Marina_Hands
Lee Tergesen;False;8/7/1965;['Ivoryton, Connecticut', ', U.S.'];https://en.wikipedia.org/wiki/Lee_Tergesen
Miranda Otto;True;16/12/1967;['Brisbane', ', ', 'Queensland', ', Australia'];https://en.wikipedia.org/wiki/Miranda_Otto
Donald Sutherland;False;17/7/1935;['Saint John, New Brunswick', ', ', 'Canada'];https://en.wikipedia.org/wiki/Donald_Sutherland
David Wenham;False;21/9/1965;['Marrickville', ', ', 'New South Wales', ', Australia'];https://en.wikipedia.org/wiki/David_Wenham
Richard Gere;False;31/8/1949;['Philadelphia, Pennsylvania', ', U.S.'];https://en.wikipedia.org/wiki/Richard_Gere
Catherine Zeta-Jones;True;25/9/1969;['Swansea', ', Wales'];https://en.wikipedia.org/wiki/Catherine_Zeta-Jones
Robert McNamara;False;9/6/1916;[];https://en.wikipedia.org/wiki/Robert_McNamara
Frank Finlay;False;6/8/1926;['Farnworth', ', ', 'Lancashire', ', England'];https://en.wikipedia.org/wiki/Frank_Finlay
Christina Ricci;True;12/2/1980;['Santa Monica, California', ', U.S.'];https://en.wikipedia.org/wiki/Christina_Ricci
Queen Latifah;True;18/3/1970;['Newark, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Queen_Latifah
John Flaus;False;;['Maroubra, New South Wales', ', Australia'];https://en.wikipedia.org/wiki/John_Flaus
John Noble;False;20/8/1948;['Port Pirie', ', ', 'South Australia', ', Australia', '[1]'];https://en.wikipedia.org/wiki/John_Noble
Maureen Lipman;True;10/5/1946;['Hull', ', ', 'East Riding of Yorkshire', ', England'];https://en.wikipedia.org/wiki/Maureen_Lipman
Christine Baranski;True;2/5/1952;['Buffalo, New York', ', U.S.'];https://en.wikipedia.org/wiki/Christine_Baranski
Emilia Fox;True;31/7/1974;['Hammersmith', ', ', 'London', ', England'];https://en.wikipedia.org/wiki/Emilia_Fox
Taye Diggs;False;2/1/1971;['Newark, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Taye_Diggs
Kamahl;False;13/11/1934;[];https://en.wikipedia.org/wiki/Kamahl
Ed Stoppard;False;16/9/1974;['London, England'];https://en.wikipedia.org/wiki/Ed_Stoppard
Valeria Golino;True;22/10/1965;['Naples', ', ', 'Italy'];https://en.wikipedia.org/wiki/Valeria_Golino
Dominic West;False;15/10/1969;['Sheffield', ', ', 'Yorkshire', ', England'];https://en.wikipedia.org/wiki/Dominic_West
Leonor Watling;True;28/7/1975;[];https://en.wikipedia.org/wiki/Leonor_Watling
Claire Danes;True;12/4/1979;['New York City, U.S.'];https://en.wikipedia.org/wiki/Claire_Danes
Jessica Kate Meyer;True;;['Waban', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Jessica_Kate_Meyer
Colm Feore;False;22/8/1958;['Boston', ', ', 'Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Colm_Feore
Antonio Banderas;False;10/8/1960;['Málaga', ', ', 'Andalusia', ', ', 'Spanish State', '(now ', 'Spain', ')'];https://en.wikipedia.org/wiki/Antonio_Banderas
Geraldine Chaplin;True;31/7/1944;['Santa Monica', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Geraldine_Chaplin
Cara Seymour;True;6/1/1964;['Essex', ', ', 'England', ', ', 'United Kingdom'];https://en.wikipedia.org/wiki/Cara_Seymour
Jeff Daniels;False;19/2/1955;['Athens, Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Jeff_Daniels
Javier Cámara;False;19/1/1967;['Albelda de Iregua', ', Spain'];https://en.wikipedia.org/wiki/Javier_C%C3%A1mara
Darío Grandinetti;False;5/3/1959;['Rosario, Santa Fe', ', Argentina'];https://en.wikipedia.org/wiki/Dar%C3%ADo_Grandinetti
Sean Bean;False;17/4/1959;['Sheffield', ', England'];https://en.wikipedia.org/wiki/Sean_Bean
Yasuko Sawaguchi;True;11/6/1965;['Sakai', ', Osaka, Japan'];https://en.wikipedia.org/wiki/Yasuko_Sawaguchi
Mari Natsuki;True;2/5/1952;['Tokyo', ', ', 'Japan'];https://en.wikipedia.org/wiki/Mari_Natsuki
Rick Zieff;False;1/11/1961;['Weston, Massachusetts', ', U.S.'];https://en.wikipedia.org/wiki/Rick_Zieff
Peter Lurie;False;;[];https://en.wikipedia.org/wiki/Peter_Lurie
Christopher Lee;False;27/5/1922;['Belgravia', ', ', 'London', ', England'];https://en.wikipedia.org/wiki/Christopher_Lee
Tsunehiko Kamijō;False;7/3/1940;['Nagano', ', Japan'];https://en.wikipedia.org/wiki/Tsunehiko_Kamij%C5%8D
Rosario Flores;True;4/11/1963;[];https://en.wikipedia.org/wiki/Rosario_Flores
Merab Ninidze;False;3/11/1965;['Tbilisi', ', ', 'Georgian Soviet Socialist Republic', ', ', 'Soviet Union', '(now ', 'Georgia', ')'];https://en.wikipedia.org/wiki/Merab_Ninidze
Juliane Köhler;True;6/8/1965;['Göttingen', ', ', 'Lower Saxony', ', ', 'West Germany', ' (now ', 'Germany', ')'];https://en.wikipedia.org/wiki/Juliane_K%C3%B6hler
Miyu Irino;False;19/2/1988;['Tokyo', ', Japan'];https://en.wikipedia.org/wiki/Miyu_Irino
Brian Cox (actor);False;1/6/1946;['Dundee', ', Scotland'];https://en.wikipedia.org/wiki/Brian_Cox_(actor)
Bunta Sugawara;False;16/8/1933;['Sendai', ', ', 'Empire of Japan'];https://en.wikipedia.org/wiki/Bunta_Sugawara
Mekhi Phifer;False;29/12/1974;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Mekhi_Phifer
Rumi Hiiragi;True;1/8/1987;['Tokyo', ', ', 'Japan'];https://en.wikipedia.org/wiki/Rumi_Hiiragi
Lucy Liu;True;2/12/1968;['Queens', ', New York City, U.S.'];https://en.wikipedia.org/wiki/Lucy_Liu
Jennifer Connelly;True;12/12/1970;['Cairo, New York', ', U.S.'];https://en.wikipedia.org/wiki/Jennifer_Connelly
Kim Basinger;True;8/12/1953;['Athens, Georgia', ', U.S.'];https://en.wikipedia.org/wiki/Kim_Basinger
Julia Rayner;True;;[];https://en.wikipedia.org/wiki/Julia_Rayner
Ed Harris;False;28/11/1950;['Englewood', ', ', 'New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Ed_Harris
Roger Rees;False;5/5/1944;['Aberystwyth', ', ', 'Cardiganshire', ', Wales'];https://en.wikipedia.org/wiki/Roger_Rees
Judd Hirsch;False;15/3/1935;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Judd_Hirsch
Eminem;False;17/10/1972;['St. Joseph, Missouri', ', U.S.'];https://en.wikipedia.org/wiki/Eminem
Josh Hartnett;False;21/7/1978;['Saint Paul, Minnesota', ', U.S.'];https://en.wikipedia.org/wiki/Josh_Hartnett
Paul Newman;False;26/1/1925;['Cleveland Heights, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Paul_Newman
Tom Sizemore;False;29/11/1961;['Detroit', ', ', 'Michigan', ', U.S.'];https://en.wikipedia.org/wiki/Tom_Sizemore
Anthony Rapp;False;26/10/1971;['Chicago', ', ', 'Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Anthony_Rapp
Alan Bates;False;17/2/1934;['Allestree', ', ', 'Derby', ', England'];https://en.wikipedia.org/wiki/Alan_Bates
Brad Dourif;False;18/3/1950;['Huntington', ', ', 'West Virginia', ', U.S.'];https://en.wikipedia.org/wiki/Brad_Dourif
William Fichtner;False;27/11/1956;['Long Island', ', ', 'New York', ', U.S.'];https://en.wikipedia.org/wiki/William_Fichtner
Richard Roxburgh;False;23/1/1962;['Albury', ', ', 'New South Wales', ', Australia'];https://en.wikipedia.org/wiki/Richard_Roxburgh
Billy Crystal;False;14/3/1948;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Billy_Crystal
Mary Gibbs (actress);True;5/10/1996;['Pasadena', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Mary_Gibbs_(actress)
Sam Shepard;False;5/11/1943;['Fort Sheridan, Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Sam_Shepard
Jennifer Tilly;True;16/9/1958;['Los Angeles, California, U.S.'];https://en.wikipedia.org/wiki/Jennifer_Tilly
James Coburn;False;31/8/1928;['Laurel, Nebraska', ', U.S.'];https://en.wikipedia.org/wiki/James_Coburn
Hugh Bonneville;False;10/11/1963;['Paddington', ', ', 'London', ', England'];https://en.wikipedia.org/wiki/Hugh_Bonneville
Ewen Bremner;False;23/1/1972;['Portobello, Edinburgh', ', Scotland'];https://en.wikipedia.org/wiki/Ewen_Bremner
Steve Buscemi;False;13/12/1957;['New York City, U.S.'];https://en.wikipedia.org/wiki/Steve_Buscemi
Adam Goldberg;False;25/10/1970;['Santa Monica, California', ', U.S.'];https://en.wikipedia.org/wiki/Adam_Goldberg
Eileen Atkins;True;16/6/1934;['London', ', ', 'England'];https://en.wikipedia.org/wiki/Eileen_Atkins
Stéphane Rousseau;False;17/9/1966;['LaSalle', ', ', 'Quebec', ', Canada'];https://en.wikipedia.org/wiki/St%C3%A9phane_Rousseau
S. K. Thoth;False;;[];https://en.wikipedia.org/wiki/S._K._Thoth
Ben Affleck;False;15/8/1972;['Berkeley, California', ', U.S.'];https://en.wikipedia.org/wiki/Ben_Affleck
Jeremy Northam;False;1/12/1961;['Cambridge', ', ', 'Cambridgeshire', ', England'];https://en.wikipedia.org/wiki/Jeremy_Northam
Cameron Diaz;True;30/8/1972;['San Diego, California', ', U.S.'];https://en.wikipedia.org/wiki/Cameron_Diaz
Denzel Washington;False;28/12/1954;['Mount Vernon, New York', ', U.S.'];https://en.wikipedia.org/wiki/Denzel_Washington
Billy Bob Thornton;False;4/8/1955;['Hot Springs, Arkansas', ', U.S.'];https://en.wikipedia.org/wiki/Billy_Bob_Thornton
Halle Berry;True;14/8/1966;['Cleveland', ', Ohio, U.S.'];https://en.wikipedia.org/wiki/Halle_Berry
Mos Def;False;11/12/1973;[];https://en.wikipedia.org/wiki/Mos_Def
Cliff Curtis;False;27/7/1968;['Rotorua', ', New Zealand'];https://en.wikipedia.org/wiki/Cliff_Curtis
Maggie Smith;True;28/12/1934;['Ilford', ', ', 'Essex', ', England'];https://en.wikipedia.org/wiki/Maggie_Smith
Sean Combs;False;4/11/1969;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Sean_Combs
Peter Boyle;False;18/10/1935;['Norristown, Pennsylvania', ', U.S.'];https://en.wikipedia.org/wiki/Peter_Boyle
Connie Nielsen;True;3/7/1965;['Frederikshavn', ', ', 'Denmark'];https://en.wikipedia.org/wiki/Connie_Nielsen
Branko Đurić;False;28/5/1962;['Sarajevo', ', ', 'PR Bosnia and Herzegovina', ', ', 'Yugoslavia'];https://en.wikipedia.org/wiki/Branko_%C4%90uri%C4%87
Snoop Dogg;False;20/10/1971;['Long Beach, California', ', U.S.'];https://en.wikipedia.org/wiki/Snoop_Dogg
Rémy Girard;False;10/8/1950;['Jonquière', ', ', 'Quebec', ', Canada'];https://en.wikipedia.org/wiki/R%C3%A9my_Girard
Ralf Moeller;False;12/1/1959;['Recklinghausen', ', ', 'West Germany'];https://en.wikipedia.org/wiki/Ralf_M%C3%B6ller
Dr. Dre;False;18/2/1965;['Compton, California', ', U.S.'];https://en.wikipedia.org/wiki/Dr._Dre
Rene Bitorajac;False;2/3/1972;['Zagreb', ', ', 'SR Croatia', ', ', 'SFR Yugoslavia'];https://en.wikipedia.org/wiki/Rene_Bitorajac
Oliver Reed;False;13/2/1938;['Wimbledon, London', ', England'];https://en.wikipedia.org/wiki/Oliver_Reed
Filip Šovagović;False;13/9/1966;['Zagreb', ', ', 'SR Croatia', ', ', 'SFR Yugoslavia'];https://en.wikipedia.org/wiki/Filip_%C5%A0ovagovi%C4%87
Don Cheadle;False;29/11/1964;['Kansas City, Missouri', ', U.S.'];https://en.wikipedia.org/wiki/Don_Cheadle
Djimon Hounsou;False;24/4/1964;['Cotonou', ', ', 'Dahomey', ' (present-day Cotonou, ', 'Benin', ')'];https://en.wikipedia.org/wiki/Djimon_Hounsou
Michael Douglas;False;25/9/1944;['New Brunswick, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Michael_Douglas
Billy Crudup;False;8/7/1968;['Manhasset, New York', ', U.S.'];https://en.wikipedia.org/wiki/Billy_Crudup
Patrick Fugit;False;27/10/1982;['Salt Lake City', ', ', 'Utah', ', U.S.'];https://en.wikipedia.org/wiki/Patrick_Fugit
Dennis Quaid;False;9/4/1954;['Houston', ', ', 'Texas', ', U.S.'];https://en.wikipedia.org/wiki/Dennis_Quaid
Benicio del Toro;False;19/2/1967;['San Germán, Puerto Rico'];https://en.wikipedia.org/wiki/Benicio_del_Toro
John Shrapnel;False;27/4/1942;['Birmingham', ', ', 'Warwickshire', ', England'];https://en.wikipedia.org/wiki/John_Shrapnel
Taylor Momsen;True;26/7/1993;['St. Louis', ', ', 'Missouri', ', U.S.'];https://en.wikipedia.org/wiki/Taylor_Momsen
Richard Harris;False;1/10/1930;['Limerick', ', Ireland'];https://en.wikipedia.org/wiki/Richard_Harris
Jeffrey Tambor;False;8/7/1944;['San Francisco', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Jeffrey_Tambor
Kate Hudson;True;19/4/1979;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Kate_Hudson
Tommy Flanagan;False;16/3/1930;[];https://en.wikipedia.org/wiki/Tommy_Flanagan
Marg Helgenberger;True;16/11/1958;['Fremont, Nebraska', ', U.S.'];https://en.wikipedia.org/wiki/Marg_Helgenberger
Bill Paxton;False;17/5/1955;['Fort Worth, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Bill_Paxton
Sihung Lung;False;1/1/1930;['Suqian', ', ', 'Jiangsu', ', ', 'China'];https://en.wikipedia.org/wiki/Sihung_Lung
Tracey Walter;False;25/11/1947;['Jersey City, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Tracey_Walter
Anna Paquin;True;24/7/1982;['Winnipeg', ', Manitoba, Canada'];https://en.wikipedia.org/wiki/Anna_Paquin
Cheng Pei-pei;True;6/1/1946;['Shanghai', ', ', 'Republic of China'];https://en.wikipedia.org/wiki/Cheng_Pei-pei
Peter Coyote;False;10/10/1941;['New York City', ', U.S.'];https://en.wikipedia.org/wiki/Peter_Coyote
Erik Palladino;False;10/5/1968;['Yonkers, New York', ', U.S.'];https://en.wikipedia.org/wiki/Erik_Palladino
Fairuza Balk;True;21/5/1974;['Point Reyes', ', ', 'California'];https://en.wikipedia.org/wiki/Fairuza_Balk
Noah Taylor;False;4/9/1969;['London', ', England'];https://en.wikipedia.org/wiki/Noah_Taylor
Matthew Settle;False;17/9/1969;['Hickory, North Carolina', ', U.S.'];https://en.wikipedia.org/wiki/Matthew_Settle
Bud Cort;False;;[];https://en.wikipedia.org/wiki/Bud_Cort
David Keith (actor);False;8/5/1954;['Knoxville, Tennessee', ', ', 'U.S.'];https://en.wikipedia.org/wiki/David_Keith_(actor)
Robert Downey Jr.;False;4/4/1965;['Manhattan', ', New York, U.S.'];https://en.wikipedia.org/wiki/Robert_Downey_Jr.
John Heard (actor);False;7/3/1946;['Washington, D.C.', ', U.S.'];https://en.wikipedia.org/wiki/John_Heard_(actor)
Val Kilmer;False;31/12/1959;['Los Angeles', ', ', 'California', ', U.S.'];https://en.wikipedia.org/wiki/Val_Kilmer
Annette Bening;True;29/5/1958;['Topeka, Kansas', ', U.S.'];https://en.wikipedia.org/wiki/Annette_Bening
Katie Holmes;True;18/12/1978;['Toledo, Ohio', ', U.S.'];https://en.wikipedia.org/wiki/Katie_Holmes
Amy Madigan;True;11/9/1950;['Chicago', ', ', 'Illinois', ', U.S.'];https://en.wikipedia.org/wiki/Amy_Madigan
Thora Birch;True;11/3/1982;['Los Angeles, California', ', U.S.'];https://en.wikipedia.org/wiki/Thora_Birch
Kevin Spacey;False;26/7/1959;['South Orange, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Kevin_Spacey
Stephanie Seymour;True;23/7/1968;['San Diego', ', California, U.S.'];https://en.wikipedia.org/wiki/Stephanie_Seymour
Paul Rudd;False;6/4/1969;['Passaic, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Paul_Rudd
Mena Suvari;True;13/2/1979;['Newport, Rhode Island', ', U.S.'];https://en.wikipedia.org/wiki/Mena_Suvari
Matthew Sussman;False;;[];https://en.wikipedia.org/wiki/Matthew_Sussman
Wes Bentley;False;;['Jonesboro, Arkansas', ', U.S.'];https://en.wikipedia.org/wiki/Wes_Bentley
Allan Corduner;False;2/4/1950;['Stockholm', ', Sweden'];https://en.wikipedia.org/wiki/Allan_Corduner
Joe Pantoliano;False;12/9/1951;['Hoboken, New Jersey', ', U.S.'];https://en.wikipedia.org/wiki/Joe_Pantoliano
Kathy Baker;True;8/6/1950;['Midland, Texas', ', U.S.'];https://en.wikipedia.org/wiki/Kathy_Baker
Norbert Weisser;False;9/7/1946;['Neu-Isenburg', ', Germany'];https://en.wikipedia.org/wiki/Norbert_Weisser
